Row Label,Q1 2011,Q2 2011,Q3 2011,FY 2011,Q1 2012,Q2 2012,Q3 2012,FY 2012,Q1 2013,Q2 2013,Q3 2013,FY 2013,Q1 2014,Q2 2014,Q3 2014,FY 2014,Q1 2015,Q2 2015,Q3 2015,FY 2015,Q1 2016,Q2 2016,Q3 2016,FY 2016,Q1 2017,Q2 2017,Q3 2017,FY 2017,Q1 2018,Q2 2018,Q3 2018,FY 2018,Q1 2019,Q2 2019,Q3 2019,FY 2019,Q1 2020
Total Assets,"145,846","150,415","148,497","144,603","150,194","151,987","155,456","149,422","153,775","163,110","168,539","166,344","173,606","179,098","176,908","177,677","179,918","185,812","189,000","194,520","203,618","210,449","217,576","221,690","230,793","240,300","229,502","212,482","218,726","218,641","225,711","227,339","233,132","233,737","231,529","228,037","246,624"
Accounts payable (principally trade),"24,739","25,412","25,646","24,494","27,576","26,425","26,313","25,166","27,117","26,820","27,242","23,621","27,715","26,992","24,773","22,529","25,187","24,247","25,188","24,062","26,766","26,959","28,628","26,961","28,725","23,404","23,265","23,929","26,039","24,660","25,147","22,297","24,560","22,717","21,406","21,018","20,031"
Automotive,"134,319","138,306","136,172","131,560","1,557","1,360","2,277","1,748","1,756",699,"1,786",564,522,610,578,500,411,462,641,817,832,"1,031","1,012","1,167","1,350","1,066","1,127","2,515","4,341","2,807","2,915",935,"1,999","2,490","2,890","1,897","1,730"
GM Financial (Note 10 at VIEs),"1,265","1,279","1,278","1,278","3,793","3,732","4,001","3,770","5,216","9,262","9,653","13,594","14,327","15,193","12,808","14,488","13,940","13,941","16,361","18,745","20,756","20,199","24,362","27,861","32,351","28,942","24,480","24,450","25,006","25,457","27,950","30,956","31,273","30,659","31,884","35,503","43,331"
Accrued liabilities,"25,200","26,409","24,559","22,756","23,651","25,134","25,032","23,308","22,450","23,240","23,882","24,633","26,658","29,552","29,170","28,184","27,804","30,878","30,549","27,842","26,633","27,854","28,533","29,192","28,478","26,601","26,603","25,996","27,330","27,368","28,104","28,049","27,471","28,428","28,072","26,487","26,200"
Total current liabilities,"51,682","53,848","51,748","48,932","56,577","56,651","57,623","53,992","56,539","60,021","62,563","62,412","69,222","72,347","67,329","65,701","67,342","69,528","72,739","71,466","74,987","76,043","82,535","85,181","90,904","94,306","81,849","76,890","82,716","80,292","84,116","82,237","85,303","84,294","84,252","84,905","91,292"
Automotive,,,,,"3,828","3,783","3,314","3,424","3,419","3,263","6,662","6,573","6,687","6,864","6,753","8,910","8,722","8,725","8,503","7,948","9,946","9,789","9,740","9,585","9,602","9,544","12,508","10,987","10,957","11,012","13,048","13,028","12,954","12,957","12,448","12,489","28,581"
GM Financial (Note 10 at VIEs),"11,527","12,109","12,325","13,043","5,046","5,918","7,061","7,108","8,033","13,524","14,022","15,452","16,231","17,409","20,966","22,943","25,185","30,389","31,898","35,601","39,615","44,301","43,986","46,015","47,598","49,537","54,558","56,267","58,514","58,983","58,427","60,032","60,858","60,455","57,244","53,435","52,858"
Postretirement benefits other than pensions (Note 14),"9,396","9,379","8,842","6,836","6,832","6,732","6,755","7,309","7,246","7,165","6,855","5,897","5,814","5,826","5,815","6,229","6,089","6,075","5,959","5,685","5,720","5,675","5,621","5,803","5,771","5,750","5,758","5,998","5,927","5,853","5,832","5,370","5,363","5,357","5,301","5,935","5,766"
Pensions (Note 14),"21,660","21,389","18,684","25,075","25,017","24,558","25,317","27,420","26,775","26,661","27,030","19,483","19,171","19,068","18,111","23,788","22,206","22,177","21,618","20,911","19,245","17,939","17,595","17,951","17,636","14,777","14,119","13,746","13,209","11,989","11,119","11,538","11,099","10,791","10,223","12,170","11,505"
Other liabilities,430,886,801,783,,,,,,,,,,,,,"13,551","13,248","13,148",,"12,780","12,699","13,084","13,080","13,068","12,438","12,743",--,"11,945","11,876","12,261","12,357","12,917","12,794","13,290","13,146","12,305"
Total non-current liabilities,"47,175","46,345","42,877","47,860","53,477","53,726","55,204","58,430","58,901","64,085","68,615","60,758","61,544","64,166","66,016","75,952","75,753","80,614","81,126","82,731","87,306","90,403","90,026","92,434","93,675","100,269","104,176","99,392","100,552","99,713","100,687","102,325","103,191","102,354","98,506","97,175","111,015"
Total Liabilities,"106,760","108,383","102,881","105,612","110,054","110,377","112,827","112,422","115,440","124,106","131,178","123,170","130,766","136,513","133,345","141,653","143,095","150,142","153,865","154,197","162,293","166,446","172,561","177,615","184,579","194,575","186,025","176,282","183,268","180,005","184,803","184,562","188,494","186,648","182,758","182,080","202,307"
Retained earnings,"1,951","4,729","6,595","7,183","8,283","9,889","11,533","10,057","11,017","12,191","12,903","13,816","13,457","13,162","13,975","14,577","14,825","14,512","14,912","20,285","21,508","23,785","25,417","26,168","28,195","28,547","24,230","17,627","17,028","18,873","20,865","22,322","23,939","25,807","27,609","26,860","25,885"
Accumulated other comprehensive loss,"1,494","1,571","1,412","-5,861","-5,768","-5,995","-6,724","-8,052","-7,611","-8,040","-7,981","-3,113","-3,138","-3,133","-2,930","-8,073","-7,331","-7,543","-8,034","-8,036","-8,054","-7,905","-7,953","-9,330","-9,250","-9,369","-7,783","-8,011","-8,081","-8,171","-8,321","-9,039","-8,849","-8,770","-8,997","-11,156","-11,800"
Total stockholders' equity,"38,198","41,118","44,744","38,120","39,256","40,700","41,659","36,244","37,587","38,374","36,778","42,607","42,222","41,994","43,002","35,457","36,329","35,146","34,638","39,871","40,932","43,630","44,720","43,836","45,972","45,521","42,243","35,001","34,298","36,181","38,061","38,860","40,765","42,816","44,554","41,792","40,113"
Non-Current Assets Held For Sale (Note 3),,,,,,,,"9,429","9,336","9,771","9,868","10,349","10,590","11,499","9,978","9,760","9,704","9,289","9,208","8,599","36,374","35,627","35,025",,,"10,400","4,508",--,,,,,,,,,
Restricted Cash,,,,912,"1,151","1,046",786,682,623,"1,067",959,"1,247","1,288","1,325","1,375","1,338",625,623,593,583,639,603,581,,,,,,,,,,,,,,
Other Liabilities (Note 13),"12,851","12,887","12,684","12,336","12,754","12,735","12,757","13,169","13,428","13,472","14,046","13,353","13,641","14,999","14,371","14,082",,,,"12,586",,,,,,"8,223","4,490","12,394",,,,,,,,,
Non-Current Liabilities Held For Sale (Note 3),,,,,,,,,,,,,,,,,,,,,,,,,,"14,293","6,374",--,,,,,,,,,
